catagery_name,subcatagery_link,subcatagery_name,subcatofcat_link,subcatofcat_name
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/range-fabric/6-piece-open-u-sectional-lounger?sku=FLRST-SU-RG-S5-A0-C1-MG-DW,U Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-fabric/8-piece-u-sectional?sku=FLRST-SU-FD-S8-A2-C0-FG-DW,U Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/mambo/loveseat?sku=FLRST-SF-MB-S2-LA2-C0-CGF-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/rugs/cape-house?sku=ALRRG-SM-CP-WTBK,Rugs
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-fabric/8-piece-open-u-sectional-double-lounger?sku=FLRST-SU-FD-S6-A0-C2-FG-DW,U Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/nomad-fabric/loveseat-chaise?sku=NSC-MG-2-MD-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-2-piece-sofa-cover?sku=OSTCV-SF-DN-CUR-KVR-S2,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/union-fabric/8-seat-u-sectional?sku=FLRST-SU-UN-S8-A2-C0-CGF-DW,U Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/field-fabric/3-piece-sectional-lounger?sku=FLRST-SF-FD-S2-A2-C1-FG-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-3-piece-sectional-cover?sku=OSTCV-SF-DN-CUR-KVR-S3,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-4-piece-sofa-cover?sku=OSTCV-SF-DN-CUR-KVR-S4,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/mambo/8-piece-u-sectional?sku=FLRST-SU-MB-S8-LA2-C0-CGF-DW,U Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/union-fabric/2-seat-sofa?sku=FLRST-SF-UN-S2-A2-C0-CGF-DW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/mambo/loveseat?sku=FLRST-SF-MB-S2-LA2-C0-CGF-DW&ottoman-add-on=FLRST-OT-MB-S0-A0-C1,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-4-piece-sectional-right-cover?sku=OSTCV-SLR-DN-CUR-KVR-S4,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-4-piece-sectional-left-cover?sku=OSTCV-SLL-DN-CUR-KVR-S4,Seating Covers
